,geometry
2210,POINT (-68.05 46.68333)
2330,POINT (-94.40157 34.04799)
2331,POINT (-75.73333 44.05)
2335,POINT (-85.68333 40.48333)
2337,POINT (-88.54889 37.81139)
2338,POINT (-89.69861 38.14889)
2340,POINT (-88.4125 38.37861)
2341,POINT (-89.09194 38.51472)
2342,POINT (-88.45278 38.66472)
2343,POINT (-88.17639 38.72167)
2357,POINT (-79.27623 42.4932)
2369,POINT (-84.05 39.83333)
2401,POINT (-97.36403 32.82478)
2402,POINT (-99.76649 30.51048)
2442,POINT (-87.951833 37.540833)
2465,POINT (-100.535211 28.627394)
2474,POINT (-101.470136 26.955733)
2478,POINT (-103.410583 25.568278)
2489,POINT (-104.6 24.05)
2490,POINT (-104.528014 24.124194)
2491,POINT (-106.4166666 23.2)
2492,POINT (-106.266072 23.161356)
2574,POINT (-95.82835 32.16384)
2587,POINT (-88.53333 39.07028)
2614,POINT (-82.86948 41.51627)
